WARNING (------): DXF version not recognised or not release 12-15.
WARNING (001272): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001282): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001292): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="0", flags=0x01, #pts=101, 0=(755650,1444889), 1=(728826,1442184), 2=(703902,1437327), 3=(680405,1430201), 4=(657860,1420697), 5=(626599,1400934), 6=(600882,1374880), 7=(581749,1343518), 8=(569909,1308100), 9=(566811,1286437), 10=(565803,1258666), 11=(566721,1231315), 12=(569786,1211271), 13=(582798,1175483), 14=(603163,1145067), 15=(631764,1119291), 16=(669290,1097281), 17=(682742,1091380), 18=(703644,1083279), 19=(727313,1074647), 20=(750570,1066713), 21=(801694,1048915), 22=(831288,1035561), 23=(849556,1022527), 24=(861153,1006918), 25=(866294,990446), 26=(866306,973394), 27=(861205,957457), 28=(851495,944212), 29=(838926,934146), 30=(825750,927795), 31=(809279,924174), 32=(785995,922493), 33=(750842,923629), 34=(716242,929241), 35=(677794,940281), 36=(630451,958155), 37=(618416,962980), 38=(608135,966889), 39=(599159,970161), 40=(598321,969964), 41=(596313,967004), 42=(571564,912914), 43=(546697,858490), 44=(546100,855743), 45=(548369,852114), 46=(586745,833563), 47=(622507,817001), 48=(645520,808075), 49=(721549,789932), 50=(797987,785485), 51=(869511,794756), 52=(930910,817403), 53=(950995,830384), 54=(970751,848180), 55=(987956,868482), 56=(1000372,889000), 57=(1009842,910697), 58=(1015468,929168), 59=(1018628,949577), 60=(1020324,977900), 61=(1020320,1008771), 62=(1017787,1031989), 63=(1012038,1052908), 64=(1002036,1076208), 65=(985505,1102697), 66=(963672,1126175), 67=(936235,1146814), 68=(902971,1164832), 69=(892222,1169364), 70=(872233,1176864), 71=(848752,1185324), 72=(824442,1193728), 73=(775272,1210942), 74=(749622,1221886), 75=(734176,1231765), 76=(723738,1243592), 77=(719796,1253510), 78=(718659,1265917), 79=(720295,1278273), 80=(724633,1288039), 81=(752025,1307586), 82=(797692,1312601), 83=(853954,1303247), 84=(912864,1279980), 85=(922574,1275212), 86=(930917,1271363), 87=(938125,1268208), 88=(939027,1268380), 89=(944912,1276109), 90=(972692,1325296), 91=(1001794,1377141), 92=(1001430,1379400), 93=(994256,1384580), 94=(973746,1395791), 95=(952199,1406930), 96=(934890,1414976), 97=(891945,1430640), 98=(848943,1440660), 99=(804106,1445310), 100=(755650,1444889)
POLYLINE entity, line 1302
WARNING (001312): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001322): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001332): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001342): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001352): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001362): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001372): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001382): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="0", flags=0x01, #pts=9, 0=(264160,1116330), 1=(264160,792480), 2=(341630,792480), 3=(419100,792480), 4=(419100,1116330), 5=(419100,1440180), 6=(341630,1440180), 7=(264160,1440180), 8=(264160,1116330)
POLYLINE entity, line 1392
WARNING (001402): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001412): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001422): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001432): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001442): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001452): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001462): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001472): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001482): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001492): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001502): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001512): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001522): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001532): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001542): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001552): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001562): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001572): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001582): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001592): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001602): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001612): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001622): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001632): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001642): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001652): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001662): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001672): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="0", flags=0x01, #pts=29, 0=(1146165,1111885), 1=(1146810,788670), 2=(1224280,788670), 3=(1301750,788670), 4=(1302413,893076), 5=(1303076,997481), 6=(1358293,998967), 7=(1411548,1001794), 8=(1451698,1007350), 9=(1485122,1016533), 10=(1516959,1030450), 11=(1540151,1045720), 12=(1561724,1066251), 13=(1579779,1089986), 14=(1592481,1114810), 15=(1605931,1166137), 16=(1609249,1226271), 17=(1602733,1285680), 18=(1586571,1334770), 19=(1560285,1373396), 20=(1523585,1402298), 21=(1475060,1421793), 22=(1413510,1432474), 23=(1396345,1433500), 24=(1358520,1434326), 25=(1313549,1434905), 26=(1265545,1435098), 27=(1145521,1435100), 28=(1146165,1111885)
POLYLINE entity, line 1682
WARNING (001692): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001702): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001712): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001722): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001732): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001742): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001752): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001762): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001772): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001782): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001792): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001802): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001812): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001822): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001832): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001842): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001852): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001862): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001872): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001882): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001892): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001902): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001912): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001922): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="0", flags=0x01, #pts=25, 0=(1406343,1296669), 1=(1418305,1291439), 2=(1428426,1284522), 3=(1436686,1275886), 4=(1443127,1265558), 5=(1446373,1257569), 6=(1448101,1249869), 7=(1448880,1239259), 8=(1449070,1219200), 9=(1448878,1197687), 10=(1448012,1187556), 11=(1445903,1179701), 12=(1441450,1169670), 13=(1428186,1151580), 14=(1410458,1140373), 15=(1384295,1134522), 16=(1343126,1132840), 17=(1303020,1132840), 18=(1303020,1218245), 19=(1303020,1303650), 20=(1348105,1302391), 21=(1370505,1301559), 22=(1386167,1300427), 23=(1397675,1298872), 24=(1406343,1296669)
POLYLINE entity, line 1932
WARNING (001942): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001952): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001962): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001972): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001982): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (001992): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002002): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002012): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002022): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002032): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002042): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002052): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002062): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002072): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002082): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002092): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002102): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002112): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002122): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002132): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002142): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002152): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002162): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002172): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="0", flags=0x01, #pts=25, 0=(1277945,683356), 1=(1280658,679619), 2=(1299299,654881), 3=(1320845,626337), 4=(1345747,593417), 5=(1410064,508460), 6=(1342572,419293), 7=(1316694,385016), 8=(1294906,355957), 9=(1275379,329795), 10=(1275080,328893), 11=(1275577,328388), 12=(1297654,328022), 13=(1322461,327749), 14=(1351928,327660), 15=(1428777,327660), 16=(1518920,417830), 17=(1609063,508000), 18=(1518920,598170), 19=(1428777,688340), 20=(1351619,688340), 21=(1300779,688255), 22=(1284935,687693), 23=(1278752,686197), 24=(1277945,683356)
POLYLINE entity, line 2182
WARNING (002192): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002202): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002212): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002222): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002232): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002242): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002252): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002262): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002272): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002282): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002292): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002302): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002312): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002322): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002332): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002342): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002352): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002362): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002372): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002382): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002392): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002402): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002412): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002422): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002432): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002442): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002452): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002462): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002472): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002482): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002492): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002502): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002512): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002522): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002532): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002542): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002552): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002562): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002572): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002582): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002592): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002602): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002612): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002622): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002632): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002642): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="0", flags=0x01, #pts=47, 0=(432039,578380), 1=(423000,573933), 2=(414706,566672), 3=(408149,557601), 4=(404235,547805), 5=(402147,533849), 6=(401466,509743), 7=(401848,485605), 8=(403752,471367), 9=(406395,463270), 10=(410358,455972), 11=(415717,449401), 12=(422513,443465), 13=(431059,439595), 14=(445821,437357), 15=(461125,436888), 16=(472077,438913), 17=(476453,440017), 18=(479708,439811), 19=(483055,438161), 20=(488046,434217), 21=(491416,431417), 22=(494485,429038), 23=(497107,427141), 24=(497997,426823), 25=(498810,427119), 26=(500711,429058), 27=(502903,431573), 28=(505232,434575), 29=(511040,442430), 30=(504241,449527), 31=(500419,453936), 32=(498917,457044), 33=(498817,460541), 34=(500167,466437), 35=(501225,472221), 36=(502079,483440), 37=(502666,496692), 38=(502850,510540), 39=(502162,534581), 40=(499835,550073), 41=(495406,561028), 42=(488207,569837), 43=(477331,576456), 44=(462654,580341), 45=(446720,581094), 46=(432039,578380)
POLYLINE entity, line 2652
WARNING (002662): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002672): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002682): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002692): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002702): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002712): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002722): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002732): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002742): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002752): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002762): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002772): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002782): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002792): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002802): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002812): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002822): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002832): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002842): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002852): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002862): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002872): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002882): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002892): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002902): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002912): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002922): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002932): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002942): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002952): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002962): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002972): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002982): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (002992): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003002): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003012): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003022): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003032): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="0", flags=0x01, #pts=39, 0=(467260,553774), 1=(469241,552254), 2=(471366,549652), 3=(473296,546500), 4=(474713,543235), 5=(476676,533109), 6=(477454,509018), 7=(477681,483729), 8=(475803,479190), 9=(474769,478881), 10=(472996,479476), 11=(470862,480746), 12=(468657,482575), 13=(463227,487676), 14=(455945,480075), 15=(448662,472474), 16=(454644,466107), 17=(460626,459740), 18=(451177,459740), 19=(446513,460108), 20=(442488,461213), 21=(438888,463143), 22=(435495,465975), 23=(431914,470801), 24=(430119,476219), 25=(429398,485143), 26=(429260,507542), 27=(429416,528324), 28=(430110,538251), 29=(431647,544465), 30=(434524,549567), 31=(437748,552971), 32=(440983,554960), 33=(445082,555961), 34=(451201,556260), 35=(455911,556077), 36=(460626,555530), 37=(464718,554733), 38=(467260,553774)
POLYLINE entity, line 3042
WARNING (003052): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003062): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003072): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003082): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003092): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003102): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003112): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003122): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003132): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003142): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003152): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003162): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003172): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003182): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003192): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003202): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003212): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003222): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003232): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003242): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003252): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003262): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003272): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003282): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003292): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003302): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003312): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003322): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003332): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (003342): VERTEX entity group 8 unknown/not supported - ignored.
